Topic,count
Topic_2,11176
Topic_8_0,10842
Topic_8_5,10514
Topic_3,9042
Topic_8_8,8398
Topic_8_3,7476
Topic_9,5551
Topic_1,4971
Topic_8_9,4934
Topic_8_7_1,4184
Topic_8_4,4167
Topic_8_6,3877
Topic_4,3771
Topic_6,3531
Topic_8_7_2_6_6,3346
Topic_8_2,2588
Topic_8_1,2464
Topic_8_7_2_2,2352
Topic_8_7_2_8,2182
Topic_8_7_4,2088
Topic_5,1973
Topic_7,1871
Topic_0,1517
Topic_8_7_2_3,1451
Topic_8_7_2_6_7,1198
Topic_8_7_3,1123
Topic_8_7_9,993
Topic_8_7_5,936
Topic_8_7_6,895
Topic_8_7_2_0,877
Topic_8_7_8,799
Topic_8_7_7,789
Topic_8_7_2_6_5,741
Topic_8_7_2_5,562
Topic_8_7_2_7,513
Topic_8_7_2_6_3,420
Topic_8_7_2_6_0,402
Topic_8_7_2_4,374
Topic_8_7_2_9,237
Topic_8_7_2_1,153
Topic_8_7_2_6_1,125
Topic_8_7_2_6_8,100
Topic_8_7_2_6_9,78
Topic_8_7_0,61
Topic_8_7_2_6_2,58
Topic_8_7_2_6_4,36
